Month, Temp (C), Precip (in), Height (in), Deer, Bears
0, -17.777778, 0.000000, 45.000000, 6, 5
1, 8.602910, 8.130446, 45.617161, 7, 5
2, 10.844360, 12.436400, 41.616756, 8, 5
3, 17.253649, 11.585760, 33.674236, 9, 5
4, 16.600467, 13.868473, 24.760319, 9, 4
5, 20.943129, 11.458521, 15.762054, 10, 4
6, 26.036919, 9.068398, 5.762057, 11, 5
7, 24.785669, 5.500689, 0.000000, 10, 5
8, 28.437072, 4.422140, 0.000000, 9, 5
9, 19.939228, 2.073633, 0.000000, 7, 4
10, 8.697595, 1.632320, 0.000000, 6, 4
11, 2.324378, 1.728906, 0.000000, 5, 4
12, 0.792285, 6.663795, 1.968807, 4, 4
13, 1.008371, 8.156693, 5.880920, 3, 4
14, 3.585375, 9.677876, 14.585238, 4, 4
15, 18.223394, 11.668583, 10.610101, 5, 4
16, 18.575016, 14.152004, 5.625757, 5, 3
17, 24.663853, 10.426767, 0.625778, 5, 2
18, 27.816421, 8.650064, 0.000000, 4, 2
19, 26.216761, 7.338185, 0.000000, 3, 2
20, 21.106928, 3.842790, 0.000000, 1, 1
21, 18.728485, 2.284100, 0.000000, 0, 0
22, 11.571219, 2.770563, 1.372499, 0, 0
23, 5.291201, 2.167192, 7.720546, 1, 0
24, 8.242207, 7.123193, 13.643492, 2, 0
25, 0.042551, 10.350223, 18.040792, 3, 0
26, 7.987650, 9.586864, 23.016819, 4, 0
27, 9.259942, 13.448462, 24.043015, 5, 0
28, 22.767241, 12.191127, 19.043230, 6, 1
29, 18.569756, 9.322733, 13.061836, 7, 2
30, 25.818083, 6.805298, 6.061840, 8, 3
31, 23.380063, 7.329622, 0.000000, 7, 4
32, 27.881275, 4.161038, 0.000000, 5, 3
33, 15.838716, 1.363486, 0.000000, 3, 2
34, 11.293199, 2.245440, 0.000000, 2, 2
35, 7.838097, 3.428254, 3.364920, 1, 2
36, 5.174228, 3.604209, 10.199831, 2, 2
37, 4.130130, 10.280254, 20.152090, 3, 2
38, 12.485589, 12.126450, 18.563663, 4, 2
39, 10.283048, 13.749693, 18.018625, 5, 2
40, 19.986644, 12.211750, 13.023184, 6, 2
41, 25.499645, 9.906537, 7.023190, 7, 3
42, 25.622559, 10.073215, 0.023196, 8, 3
43, 29.945852, 4.768434, 0.000000, 7, 4
44, 20.400831, 4.330849, 0.000000, 5, 3
45, 16.768655, 1.951124, 0.000000, 3, 2
46, 17.751658, 1.559005, 0.000000, 2, 2
47, 9.446638, 4.192064, 1.807126, 1, 2
48, 4.151488, 7.142966, 11.835811, 2, 2
49, 3.694566, 9.811982, 21.614996, 3, 2
50, 9.745687, 12.886529, 23.056725, 4, 2
51, 12.485241, 11.658855, 20.493765, 5, 2
52, 23.434126, 14.476068, 15.493847, 6, 2
53, 19.497409, 12.766890, 9.501050, 7, 3
54, 27.855623, 8.280728, 2.501050, 8, 3
55, 27.616912, 4.571323, 0.000000, 7, 4
56, 26.590097, 1.987191, 0.000000, 5, 3
57, 17.842806, 0.108871, 0.000000, 3, 2
58, 9.207935, 0.309384, 0.000000, 2, 2
59, 8.325969, 2.423364, 2.148333, 1, 2
60, 1.152013, 7.074303, 8.901413, 2, 2
61, 0.413837, 7.057216, 13.402329, 3, 2
62, 7.648193, 12.284541, 18.569820, 4, 2
63, 18.065919, 14.535571, 14.593754, 5, 2
64, 20.480711, 12.328308, 9.596490, 6, 2
65, 26.187528, 10.717295, 3.596493, 7, 3
66, 24.000956, 7.481961, 0.000000, 6, 3
67, 27.226825, 4.424736, 0.000000, 5, 3
68, 19.549963, 3.685954, 0.000000, 3, 2
69, 14.269931, 2.378326, 0.000000, 1, 1
70, 8.947589, 2.184731, 2.377396, 0, 1
71, 2.971369, 4.557775, 10.695398, 1, 1
